Rank,Title,Username,Rating,Score,Performance,Team
666,,Cristianjac,2230,5,2130,
667,,Rodes95,1807,5,1646,
668,,Xavijh29,2147,5,1623,
669,,Porris,1847,5,1591,
670,,SeRgIo_gamer,1962,5,1568,
671,,lfred2777,1947,5,1563,
672,,Dajodo,1498,5,1479,
673,,jh2001,1361,5,1449,
674,,Aquinohaylogica2000,1429,5,1399,
675,,Renaproo,982,5,998,
676,,ACZINO-CHESS,2203,4,2705,
677,,Francoquiroz,2290,4,2614,
678,,chrisjhcr,1738,4,2220,
679,,Lolsebas4,1828,4,2125,
680,,Ovejero,1497,4,2111,
681,,Pol_LOMBARTE,1758,4,1941,
682,,huitzilj6,1733,4,1918,
683,,nhermosilla14,1224,4,1849,
684,,AntonioPena,1612,4,1818,
685,,Arielcitoops,1653,4,1733,
686,,alep666,1917,4,1679,
687,,MateoZuccaro,1604,4,1636,
688,,DanielTF,1821,4,1633,
689,,itsArnau18,1422,4,1631,
690,,Ivack17,1349,4,1589,
691,,perujulioplayer,1052,4,1579,
692,,Carius_1roSec,1691,4,1551,
693,,Sarialex,1280,4,1551,
694,,fama11235813,1750,4,1544,
695,,choly666,1570,4,1510,
696,,crism820,1324,4,1492,
697,,EtinajeroR,1171,4,1479,
698,,DonAlfil,1862,4,1454,
699,,manutomme,1220,4,1437,
700,,PracticeGame3,1268,4,1405,
701,,MartinMolina15,1295,4,1396,
702,,Prim68,982,4,1393,
703,,JokerBond,1231,4,1385,
704,,ErAIKO,1439,4,1366,
705,,ELAJEDRESCISTALOCO,1194,4,1363,
706,,THEG4ME,1370,4,1345,
707,,ajiniesta,888,4,1339,
708,,essaxavi,1385,4,1309,
709,,txo1983,1448,4,1302,
710,,zeckito7,961,4,1301,
711,,usama078,1271,4,1290,
712,,santyago_ssp,1371,4,1287,
713,,Victorandresortega,1324,4,1278,
714,,Denever,1552,4,1278,
715,,Frankiesv,1282,4,1271,
716,,munchii73,977,4,1261,
717,,JorMoli,959,4,1243,
718,,gianelking314,1082,4,1237,
719,,MIGUELAF17964867NP,1139,4,1231,
720,,AnaBD,887,4,1221,
721,,chedar3,1164,4,1217,
722,,RangelSamuel5C,1284,4,1216,
723,,Angello14,1152,4,1212,
724,,JuanJe797,1128,4,1208,
725,,habahddhy12,1574,4,1192,
726,,ReVIT_0-0,1215,4,1185,
