Rank,Title,Username,Rating,Points,Tie Break,Performance
311,,Fdocan,1572,4.0,8.0,1703.0
312,,Nyarlatholep,1465,4.0,8.0,1519.6364
313,,Davi_10,1315,4.0,7.0,1358.1428
314,,Pakitoeltronco,1171,4.0,7.0,1242.6
315,,GatoAsturGM,2060,3.5,18.0,1975.4286
316,,Origaming_7,2042,3.5,16.25,2029.4286
317,,jesuskappa,1631,3.5,15.75,1983.5
318,,LordkeynesFCO,2030,3.5,12.75,1883.3334
319,,maosuarezbarrera,1353,3.5,11.75,1660.5
320,,soymingu,1384,3.5,10.75,1380.6666
321,,Pabloblanca9,849,3.5,10.5,1343.125
322,,Gil_Otreb82,1573,3.5,9.5,1359.3334
323,,Boqueixon_Gonzalo_R,1557,3.5,9.0,1679.8334
324,,Depredador8,1650,3.5,9.0,1334.7273
325,,Sahuaripa,1315,3.5,8.75,1323.3636
326,,E_L_R_A_T,902,3.5,8.75,1187.5454
327,,alejomorales,1426,3.5,8.25,1342.75
328,,jugigalo,1465,3.5,6.75,1309.5
329,,AjedrezNavarro,1392,3.5,6.75,1150.6364
330,,larritxapelas,1261,3.5,6.75,1062.2727
331,,fgarciae5,1056,3.5,4.75,1116.6364
332,,BocaJuniors2007,1658,3.5,4.5,1213.8334
333,,Elchuy77fenelchat,845,3.5,4.25,1072.5454
334,,juanmatmw,1654,3.0,16.5,1700.0
335,,Luis-albertolopez,1765,3.0,15.0,1610.0
336,,alcabot,1286,3.0,11.5,1239.875
337,,A73412371VICTORFARRO,1331,3.0,10.5,1357.7778
338,,JoshuaRLL,1361,3.0,10.0,1316.7142
339,,Ricardominguero,1500,3.0,9.5,1074.3636
340,,samuel343,1593,3.0,8.0,1605.8334
341,,aamezqueta,1570,3.0,8.0,1489.1428
342,,psyche-out,896,3.0,8.0,1186.3636
343,,rfggtav,1456,3.0,7.5,1389.8334
344,,GuidoNadotti,1630,3.0,7.0,1440.625
345,,Dr_Vago,1172,3.0,7.0,1293.0
346,,Julian1126,1122,3.0,7.0,1264.3636
347,,Disuasor,1265,3.0,7.0,1221.8
348,,JOSEALFARO,1200,3.0,6.5,1261.2222
349,,Sofiode,1257,3.0,6.5,1114.0
350,,GONZALOSANVICENTE,1361,3.0,6.0,1397.6666
351,,fernais,1605,3.0,6.0,1333.3334
352,,Encomenta511,1360,3.0,6.0,1241.2
353,,claerso,1200,3.0,6.0,1197.0
354,,fritovigo,789,3.0,6.0,1138.091
355,,tacticovitch,2227,3.0,5.0,1923.75
356,,cesart22,2420,3.0,5.0,1548.25
357,,KingGoji,1500,3.0,5.0,1160.3636
358,,pabego,1175,3.0,5.0,1104.091
359,,emildia,1529,3.0,4.0,1450.25
360,,fervelazquezb,1518,3.0,4.0,1429.6
361,,Brujorujo,1000,3.0,4.0,1203.7
362,,lucadelpieri,751,3.0,4.0,1168.6364
363,,maisurtia,1045,3.0,4.0,1076.5454
364,,dragonchess26,1166,3.0,3.5,1079.4
365,,lczoz6,2176,2.5,11.0,1875.0
366,,PANFLETO0000,1332,2.5,10.0,1629.8
367,,kyque,1311,2.5,7.75,1306.4286
368,,bautista20078564110,1763,2.5,7.25,1345.3334
369,,justopoi,1828,2.5,6.0,1831.6666
370,,Milochess91,1334,2.5,6.0,1173.5
371,,supersayayin7,1369,2.5,5.75,1244.7142
372,,RayanSEchecs,1243,2.5,5.25,1354.6666
373,,Laureada,751,2.5,4.5,1059.4
374,,cris4ever23,1254,2.5,4.0,1711.75
375,,brochona,1276,2.5,4.0,1676.3334
376,,Pjspike,1241,2.5,4.0,1363.625
377,,Hnemasailo86,1911,2.5,2.0,1970.6666
378,,Mvila,1612,2.5,2.0,1374.6666
379,,Angelo1026,2031,2.0,14.0,1802.3334
380,,Lmtrdvp,2405,2.0,10.0,1740.25
381,,josevimiss,1754,2.0,8.0,1326.5
382,,MarioJh,1364,2.0,7.0,1543.8
383,,yorch_boardgamer,1545,2.0,7.0,1492.0
384,,robertoflo22,1250,2.0,7.0,1183.0
385,,MarcoPenia,1217,2.0,6.0,1901.6666
386,,javierletona,2184,2.0,6.0,1834.3334
387,,geopazos,1338,2.0,6.0,1717.3334
388,,vicentemontesinosj,1482,2.0,6.0,1383.5
389,,Luixus74,1357,2.0,6.0,1153.8334
390,,adimoster,1485,2.0,5.0,1231.2858
391,,ignaciolabrana123,964,2.0,5.0,1143.2858
392,,MiguelAMR,1221,2.0,5.0,1025.0
393,,x_Jefe_Maestro_x,886,2.0,5.0,1007.0909
394,,bergui,2186,2.0,4.0,2076.0
395,,dannychess525,1972,2.0,4.0,1266.0
396,,Castillejo1980,1171,2.0,4.0,1229.375
397,,Catacroc,1188,2.0,3.5,1144.0
398,,NicolasAntonioG,1484,2.0,3.0,1730.3334
399,,Aaroniero,1435,2.0,3.0,1344.0
