Rank,Title,Username,Rating,Score,Performance,Team
611,,sergiopotrosalvaje,1399,2,1325,
612,,lucas14148,1575,2,1322,
613,,JazReyna,1086,2,1267,
614,,IsmaelArenas,1016,2,1257,
615,,Danisr04,1413,2,1249,
616,,Mijhayl5,1331,2,1248,
617,,Volcaknit,1595,2,1223,
618,,alexlopez2796,1092,2,1164,
619,,TheMrKev,1893,2,1156,
620,,Zetaaa,1129,2,1141,
621,,chess33legal,1219,2,1103,
622,,luisbucanero,1202,2,1093,
623,,Boscarvidios,1208,2,1047,
624,,Noup,1303,2,1044,
625,,Mickaell1,1137,2,1007,
626,,Nasio33,1160,2,1003,
627,,samug91,1062,2,988,
628,,LuisAngel07,1167,2,965,
629,,JarribasDB,1031,2,937,
630,,Toreto23,853,2,917,
631,,rafestev,1225,2,912,
632,,OsielTopo,980,2,898,
633,,Ferdex03,1130,2,858,
634,,AdolfoCatral,856,2,736,
635,,mathiC,873,2,716,
636,,Ever_Diaz,791,2,604,
637,,Alejodeath,910,2,600,
638,,porao,1235,1,1147,
639,,somethingandotherthi,2426,0,,
640,,j7s7l7,2288,0,,
641,,NetleF,2260,0,,
642,,SereGM,2229,0,,
643,,andreykin_01,2226,0,,
644,,iparra,2210,0,,
645,,Vasilev_Andrei,2206,0,,
646,,CesarRaymundo_FIEE,2186,0,,
647,,GabrielElPokemon,2159,0,,
648,,kaosyorun,2154,0,,
649,,infan,2152,0,,
650,,ChessImpostor,2149,0,,
651,,Frostx20,2145,0,,
652,,v3n3noDiaz,2129,0,,
653,,manodepiedra,2128,0,,
654,,mark7toz,2119,0,,
655,,CarlosVec,2111,0,,
656,,Tubulares,2107,0,,
657,,elpanapogo,2091,0,,
658,,Emanuel-2004,2081,0,,
659,,NOTJORGE,2066,0,,
660,,Yetisport_85,2057,0,,
661,,Mateitogladiador,2057,0,,
662,,OscarFdezDguez,2047,0,,
663,,shoztabak,2045,0,,
664,,rubenkoff,2042,0,,
665,,Cartrini,2039,0,,
666,,DestruyoTusTacticas,2021,0,,
667,,kurtisvaldez5678,2012,0,,
668,,fiodor_nabokov,2011,0,,
669,,bgnr400elo,2007,0,,
670,,Hectly,2004,0,,
671,,gambitodeporablea1,2004,0,,
672,,Lurkemiaj,2003,0,,
673,,Tal3112,2000,0,,
674,,Avgchessplayer,1997,0,,
675,,eloyoff34,1990,0,,
676,,adanhvillegas,1985,0,,
677,,Obregonf1,1985,0,,
678,,Simongiraldo8,1971,0,,
679,,Mitsuperu,1970,0,,
680,,marvella19,1963,0,,
681,,PARS3030,1960,0,,
682,,ChessOfExperts,1956,0,,
683,,pablogl,1953,0,,
684,,Schiocca,1947,0,,
685,,Onfire735,1935,0,,
686,,Zephyrvoice,1925,0,,
687,,Ninjapomelo,1925,0,,
688,,pablohidalgo,1921,0,,
689,,FedeConti,1919,0,,
690,,Nova-Magnus2,1905,0,,
691,,reymond2007,1903,0,,
692,,emanuelchess18,1889,0,,
693,,cdurbinab,1887,0,,
694,,Patosbenito,1884,0,,
695,,FabriChess19,1874,0,,
696,,CsOiN,1874,0,,
697,,pauba98,1874,0,,
698,,elgoldocloss,1869,0,,
699,,Capabla30192001,1861,0,,
700,,Reymundoluis,1861,0,,
701,,b4s71an,1845,0,,
702,,misterlawyer,1845,0,,
703,,RNEVA11,1844,0,,
704,,Leony,1842,0,,
705,,Ratatouille_07,2323,0,1841,
706,,vellaCiao,1838,0,,
707,,DR_ALBONDIGA73,1838,0,,
708,,JUANMARTINOSO1827,1831,0,,
709,,Silver_Poison,1830,0,,
710,,rocksoff10,1829,0,,
711,,Zamuelll,1828,0,,
712,,Fer22col,1825,0,,
